,Lat,Lng,Country,City,Cloudiness,Date,Humidity,Max Temp,Wind Speed
342,-5.0892,-81.1144,PE,Paita,87,1659550832,66,71.71,11.1
343,-7.7667,35.7,TZ,Iringa,52,1659550832,68,57.67,8.68
344,4.423,-7.3528,CI,Tabou,100,1659550833,77,76.06,9.4
345,31.4352,-97.7439,US,Gatesville,0,1659550681,42,98.55,17.34
346,10.5669,72.642,IN,Kavaratti,100,1659550833,91,77.77,29.55
347,4.1213,43.8894,SO,Oddur,95,1659550834,56,77.77,22.35
348,-20.3428,57.7575,MU,Bambous Virieux,40,1659550834,77,68.25,4.61
349,-2.5744,150.7967,PG,Kavieng,75,1659550834,79,81.79,15.68
350,11.6667,92.75,IN,Port Blair,100,1659550835,89,78.84,2.3
351,-5.5569,-80.8222,PE,Sechura,88,1659550835,55,75.9,8.79
352,0.8,127.4,ID,Ternate,100,1659550836,78,80.38,3.24
353,59.2353,163.0719,RU,Ossora,94,1659550836,85,56.23,1.19
354,54.3419,101.5036,RU,Kuytun,72,1659550837,87,52.59,4.36
355,-6.9811,-34.8339,BR,Cabedelo,56,1659550837,76,77.67,7.18
